CustomerKey,GeographyKey,CustomerAlternateKey,Title,FirstName,MiddleName,LastName,NameStyle,BirthDate,MaritalStatus,Suffix,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,SpanishEducation,FrenchEducation,EnglishOccupation,SpanishOccupation,FrenchOccupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CommuteDistance
11030,28,AW00011030,,Bethany,G,Yuan,0,1947-02-22 00:00:00,M,,F,bethany10@adventure-works.com,10000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,636 Vine Hill Way,,1 (11) 500 555-0182,2001-08-08 00:00:00,1-2 Miles
11031,8,AW00011031,,Theresa,G,Ramos,0,1947-08-22 00:00:00,M,,F,theresa13@adventure-works.com,20000,4,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,6465 Detroit Ave.,,1 (11) 500 555-0195,2001-08-04 00:00:00,1-2 Miles
11032,35,AW00011032,,Denise,,Stone,0,1947-06-11 00:00:00,M,,F,denise10@adventure-works.com,20000,4,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,626 Bentley Street,,1 (11) 500 555-0169,2001-08-21 00:00:00,1-2 Miles
11033,9,AW00011033,,Jaime,,Nath,0,1947-09-23 00:00:00,M,,M,jaime41@adventure-works.com,20000,4,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,5927 Rainbow Dr,,1 (11) 500 555-0137,2001-08-18 00:00:00,5-10 Miles
11034,12,AW00011034,,Ebony,,Gonzalez,0,1947-06-19 00:00:00,M,,F,ebony19@adventure-works.com,20000,4,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,5167 Condor Place,,1 (11) 500 555-0136,2001-08-04 00:00:00,5-10 Miles
11035,33,AW00011035,,Wendy,,Dominguez,0,1948-02-24 00:00:00,M,,F,wendy12@adventure-works.com,10000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,1873 Mt. Whitney Dr,,1 (11) 500 555-0177,2001-08-09 00:00:00,1-2 Miles
11036,343,AW00011036,,Jennifer,C,Russell,0,1978-12-18 00:00:00,M,,F,jennifer93@adventure-works.com,60000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,3981 Augustine Drive,,115-555-0183,2003-07-26 00:00:00,1-2 Miles
11037,49,AW00011037,,Chloe,M,Garcia,0,1977-11-27 00:00:00,S,,F,chloe27@adventure-works.com,40000,0,0,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,0,2,8915 Woodside Way,,229-555-0112,2003-07-24 00:00:00,5-10 Miles
11038,6,AW00011038,,Diana,F,Hernandez,0,1948-03-23 00:00:00,M,,F,diana2@adventure-works.com,10000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,8357 Sandy Cove Lane,,1 (11) 500 555-0114,2001-08-10 00:00:00,5-10 Miles
11039,19,AW00011039,,Marc,J,Martin,0,1948-12-17 00:00:00,M,,M,marc3@adventure-works.com,30000,3,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,1,2,9353 Creekside Dr.,,1 (11) 500 555-0183,2001-08-10 00:00:00,5-10 Miles
11040,642,AW00011040,,Jesse,,Murphy,0,1977-08-01 00:00:00,M,,M,jesse15@adventure-works.com,30000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,3350 Kingswood Circle,,961-555-0176,2003-10-05 00:00:00,1-2 Miles
11041,325,AW00011041,,Amanda,M,Carter,0,1977-10-16 00:00:00,M,,F,amanda53@adventure-works.com,60000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,5826 Escobar,,295-555-0145,2003-07-18 00:00:00,1-2 Miles
11042,338,AW00011042,,Megan,J,Sanchez,0,1977-06-13 00:00:00,M,,F,megan28@adventure-works.com,70000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,1397 Paraiso Ct.,,404-555-0199,2003-07-25 00:00:00,0-1 Miles
11043,325,AW00011043,,Nathan,M,Simmons,0,1976-02-24 00:00:00,M,,M,nathan11@adventure-works.com,60000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,1170 Shaw Rd,,296-555-0181,2003-11-09 00:00:00,5-10 Miles
11044,25,AW00011044,,Adam,L,Flores,0,1949-05-24 00:00:00,M,,M,adam10@adventure-works.com,20000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,6935 Candle Dr,,1 (11) 500 555-0163,2001-08-31 00:00:00,1-2 Miles
11045,8,AW00011045,,Leonard,G,Nara,0,1950-05-19 00:00:00,S,,M,leonard18@adventure-works.com,30000,3,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,7466 La Vista Ave.,,1 (11) 500 555-0151,2003-10-12 00:00:00,1-2 Miles
11046,6,AW00011046,,Christine,,Yuan,0,1950-03-22 00:00:00,M,,F,christine4@adventure-works.com,30000,3,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,2356 Orange St,,1 (11) 500 555-0113,2001-08-09 00:00:00,5-10 Miles
11047,34,AW00011047,,Jaclyn,D,Lu,0,1950-02-27 00:00:00,M,,F,jaclyn12@adventure-works.com,30000,3,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,2812 Mazatlan,,1 (11) 500 555-0137,2001-08-06 00:00:00,1-2 Miles
11048,39,AW00011048,,Jeremy,,Powell,0,1950-11-22 00:00:00,M,,M,jeremy26@adventure-works.com,30000,3,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,1803 Potomac Dr.,,1 (11) 500 555-0183,2001-08-13 00:00:00,5-10 Miles
11049,307,AW00011049,,Carol,C,Rai,0,1980-07-18 00:00:00,S,,F,carol8@adventure-works.com,40000,0,0,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,6064 Madrid,,654-555-0180,2003-09-10 00:00:00,5-10 Miles
11050,31,AW00011050,,Alan,,Zheng,0,1951-09-07 00:00:00,M,,M,alan23@adventure-works.com,30000,3,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,2741 Gainborough Dr.,,1 (11) 500 555-0135,2001-08-23 00:00:00,5-10 Miles
11051,21,AW00011051,,Daniel,,Johnson,0,1951-08-04 00:00:00,S,,M,daniel18@adventure-works.com,30000,3,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,8085 Sunnyvale Avenue,,1 (11) 500 555-0155,2004-07-01 00:00:00,1-2 Miles
11052,8,AW00011052,,Heidi,,Lopez,0,1951-08-07 00:00:00,S,,F,heidi19@adventure-works.com,40000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,0,2,2514 Via Cordona,,1 (11) 500 555-0168,2001-08-20 00:00:00,5-10 Miles
11053,359,AW00011053,,Ana,E,Price,0,1980-08-20 00:00:00,M,,F,ana0@adventure-works.com,60000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,2,1660 Stonyhill Circle,,859-555-0113,2003-07-21 00:00:00,1-2 Miles
11054,34,AW00011054,,Deanna,,Munoz,0,1952-03-10 00:00:00,M,,F,deanna33@adventure-works.com,40000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,5825 B Way,,1 (11) 500 555-0192,2001-08-06 00:00:00,5-10 Miles
11055,22,AW00011055,,Gilbert,,Raje,0,1952-03-05 00:00:00,M,,M,gilbert35@adventure-works.com,40000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,8811 The Trees Dr.,,1 (11) 500 555-0129,2001-08-03 00:00:00,5-10 Miles
11056,10,AW00011056,,Michele,L,Nath,0,1953-04-03 00:00:00,M,,F,michele19@adventure-works.com,40000,3,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,5464 Janin Pl.,,1 (11) 500 555-0178,2001-08-29 00:00:00,5-10 Miles
11057,5,AW00011057,,Carl,J,Andersen,0,1953-10-12 00:00:00,M,,M,carl12@adventure-works.com,70000,2,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,6930 Lake Nadine Place,,1 (11) 500 555-0181,2001-08-25 00:00:00,1-2 Miles
11058,29,AW00011058,,Marc,,Diaz,0,1954-04-27 00:00:00,M,,M,marc6@adventure-works.com,80000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,6645 Sinaloa,,1 (11) 500 555-0149,2001-09-09 00:00:00,1-2 Miles
11059,27,AW00011059,,Ashlee,J,Andersen,0,1954-04-01 00:00:00,S,,F,ashlee19@adventure-works.com,80000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,8255 Highland Road,,1 (11) 500 555-0112,2003-08-22 00:00:00,5-10 Miles
11060,40,AW00011060,,Jon,L,Zhou,0,1954-03-17 00:00:00,M,,M,jon28@adventure-works.com,80000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,6574 Hemlock Ave.,,1 (11) 500 555-0174,2001-09-19 00:00:00,5-10 Miles
11061,23,AW00011061,,Todd,M,Gao,0,1954-02-27 00:00:00,M,,M,todd14@adventure-works.com,80000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,8808 Geneva Ave,,1 (11) 500 555-0191,2001-09-13 00:00:00,5-10 Miles
11062,547,AW00011062,,Noah,D,Powell,0,1975-09-02 00:00:00,M,,M,noah5@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,9794 Marion Ct,,767-555-0113,2003-07-11 00:00:00,5-10 Miles
11063,634,AW00011063,,Angela,,Murphy,0,1975-04-07 00:00:00,S,,F,angela41@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,4927 Virgil Street,# 21,451-555-0162,2003-07-16 00:00:00,5-10 Miles
11064,315,AW00011064,,Chase,,Reed,0,1975-12-07 00:00:00,M,,M,chase21@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,2721 Alexander Pl.,,892-555-0184,2003-07-29 00:00:00,5-10 Miles
11065,331,AW00011065,,Jessica,,Henderson,0,1973-10-09 00:00:00,M,,F,jessica29@adventure-works.com,60000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,2,9343 Ironwood Way,,278-555-0186,2003-08-14 00:00:00,1-2 Miles
11066,543,AW00011066,,Grace,T,Butler,0,1973-11-27 00:00:00,M,,F,grace62@adventure-works.com,70000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,2,4739 Garden Ave.,,712-555-0141,2003-12-02 00:00:00,5-10 Miles
11067,632,AW00011067,,Caleb,F,Carter,0,1976-09-25 00:00:00,S,,M,caleb40@adventure-works.com,60000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,2,9563 Pennsylvania Blvd.,,944-555-0167,2004-02-19 00:00:00,5-10 Miles
11068,40,AW00011068,,Tiffany,,Liang,0,1955-09-23 00:00:00,S,,F,tiffany17@adventure-works.com,80000,2,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,3608 Sinclair Avenue,# 701,1 (11) 500 555-0177,2003-11-01 00:00:00,5-10 Miles
11069,23,AW00011069,,Carolyn,,Navarro,0,1955-09-21 00:00:00,S,,F,carolyn30@adventure-works.com,80000,2,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,4606 Springwood Court,,1 (11) 500 555-0145,2001-10-18 00:00:00,1-2 Miles
11070,39,AW00011070,,Willie,T,Raji,0,1955-04-05 00:00:00,M,,M,willie40@adventure-works.com,80000,2,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,6260 Vernal Drive,,1 (11) 500 555-0151,2001-10-29 00:00:00,5-10 Miles
11071,24,AW00011071,,Linda,,Serrano,0,1955-06-26 00:00:00,S,,F,linda31@adventure-works.com,80000,2,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,9808 Shaw Rd.,,1 (11) 500 555-0130,2003-09-02 00:00:00,5-10 Miles
11072,17,AW00011072,,Casey,,Luo,0,1955-02-06 00:00:00,S,,F,casey6@adventure-works.com,80000,2,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,9513 Roslyn Drive,,1 (11) 500 555-0125,2001-10-01 00:00:00,1-2 Miles
11073,16,AW00011073,,Amy,,Ye,0,1956-08-14 00:00:00,S,,F,amy16@adventure-works.com,70000,2,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,2262 Kirkwood Ct.,,1 (11) 500 555-0185,2003-09-24 00:00:00,5-10 Miles
11074,28,AW00011074,,Levi,A,Arun,0,1956-08-28 00:00:00,S,,M,levi6@adventure-works.com,70000,2,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,4661 Bluetail,,1 (11) 500 555-0127,2003-09-24 00:00:00,5-10 Miles
11075,32,AW00011075,,Felicia,L,Jimenez,0,1957-11-16 00:00:00,S,,F,felicia4@adventure-works.com,80000,2,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,786 Eastgate Ave,,1 (11) 500 555-0165,2001-10-29 00:00:00,5-10 Miles
11076,19,AW00011076,,Blake,,Anderson,0,1957-07-13 00:00:00,S,,M,blake9@adventure-works.com,80000,2,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,5436 Clear,# 101,1 (11) 500 555-0113,2001-10-22 00:00:00,5-10 Miles
11077,36,AW00011077,,Leah,,Ye,0,1957-09-19 00:00:00,S,,F,leah7@adventure-works.com,80000,2,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,0,2,1291 Arguello Blvd.,,1 (11) 500 555-0154,2001-10-16 00:00:00,1-2 Miles
11078,49,AW00011078,,Gina,E,Martin,0,1974-01-10 00:00:00,S,,F,gina1@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,0,2,1349 Sol St.,,196-555-0114,2003-08-19 00:00:00,1-2 Miles
11079,34,AW00011079,,Donald,,Gonzalez,0,1959-03-11 00:00:00,S,,M,donald20@adventure-works.com,160000,0,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,4236 Malibu Place,,1 (11) 500 555-0137,2003-09-16 00:00:00,0-1 Miles
11080,30,AW00011080,,Damien,,Chander,0,1959-07-17 00:00:00,M,,M,damien32@adventure-works.com,170000,0,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,9941 Stonehedge Dr.,,1 (11) 500 555-0111,2001-10-11 00:00:00,0-1 Miles
11081,311,AW00011081,,Savannah,C,Baker,0,1966-07-24 00:00:00,M,,F,savannah39@adventure-works.com,120000,2,2,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,3,1210 Trafalgar Circle,,478-555-0117,2003-08-16 00:00:00,2-5 Miles
11082,322,AW00011082,,Angela,L,Butler,0,1966-08-04 00:00:00,S,,F,angela17@adventure-works.com,130000,0,1,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,0,3,6040 Listing Ct,,579-555-0195,2003-07-26 00:00:00,1-2 Miles
11083,336,AW00011083,,Alyssa,F,Cox,0,1966-03-15 00:00:00,M,,F,alyssa37@adventure-works.com,130000,0,1,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,3,867 La Orinda Place,,561-555-0140,2003-07-10 00:00:00,1-2 Miles
11084,543,AW00011084,,Lucas,,Phillips,0,1957-09-12 00:00:00,S,,M,lucas7@adventure-works.com,80000,2,0,Partial High School,Educación secundaria (en curso),Niveau bac,Skilled Manual,Obrero especializado,Technicien,0,2,8668 St. Celestine Court,,863-555-0172,2003-07-08 00:00:00,1-2 Miles
11085,345,AW00011085,,Emily,,Johnson,0,1957-07-19 00:00:00,S,,F,emily1@adventure-works.com,60000,2,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,0,2,7926 Stephanie Way,,850-555-0184,2004-06-08 00:00:00,5-10 Miles
11086,369,AW00011086,,Ryan,,Brown,0,1957-12-23 00:00:00,M,,M,ryan43@adventure-works.com,70000,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,0,2939 Wesley Ct.,,539-555-0198,2004-01-03 00:00:00,0-1 Miles
11087,307,AW00011087,,Tamara,L,Liang,0,1957-10-03 00:00:00,M,,F,tamara6@adventure-works.com,70000,3,2,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,0,0,3791 Rossmor Parkway,,178-555-0152,2003-08-29 00:00:00,0-1 Miles
11088,359,AW00011088,,Hunter,,Davis,0,1957-11-25 00:00:00,M,,M,hunter64@adventure-works.com,80000,2,1,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,0,4308 Sand Pointe Lane,,612-555-0141,2003-07-17 00:00:00,2-5 Miles
11089,337,AW00011089,,Abigail,M,Price,0,1957-02-05 00:00:00,S,,F,abigail25@adventure-works.com,80000,2,1,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,1,2685 Blackburn Ct,,532-555-0117,2003-07-02 00:00:00,2-5 Miles
